market_date,market_start_time,market_end_time,market_start_datetime,market_end_datetime,market_date_transaction_time,transaction_time,product_id,vendor_id,customer_id,quantity,cost_to_customer_per_qty
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00","2019-07-03 17:32:00",17:32:00,1,7,14,0.99,6.99
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00","2019-07-03 18:23:00",18:23:00,1,7,14,2.18,6.99
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00","2019-07-03 18:41:00",18:41:00,1,7,15,1.53,6.99
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00","2019-07-03 18:18:00",18:18:00,1,7,16,2.02,6.99
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00","2019-07-03 17:34:00",17:34:00,1,7,22,0.66,6.99
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00","2019-07-06 12:20:00",12:20:00,1,7,4,0.27,6.99
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00","2019-07-06 09:33:00",09:33:00,1,7,12,3.60,6.99
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00","2019-07-06 13:05:00",13:05:00,1,7,14,3.04,6.99
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00","2019-07-06 12:26:00",12:26:00,1,7,23,1.49,6.99
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00","2019-07-06 12:46:00",12:46:00,1,7,23,2.56,6.99
2019-07-10,"4:00 PM","7:00 PM","2019-07-10 16:00:00","2019-07-10 19:00:00","2019-07-10 18:40:00",18:40:00,1,7,3,2.48,6.99
2019-07-10,"4:00 PM","7:00 PM","2019-07-10 16:00:00","2019-07-10 19:00:00","2019-07-10 18:06:00",18:06:00,1,7,4,2.13,6.99
2019-07-10,"4:00 PM","7:00 PM","2019-07-10 16:00:00","2019-07-10 19:00:00","2019-07-10 18:35:00",18:35:00,1,7,8,2.71,6.99
2019-07-10,"4:00 PM","7:00 PM","2019-07-10 16:00:00","2019-07-10 19:00:00","2019-07-10 18:56:00",18:56:00,1,7,23,3.61,6.99
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00","2019-07-13 09:02:00",09:02:00,1,7,2,4.24,6.99
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00","2019-07-13 13:43:00",13:43:00,1,7,5,0.71,6.99
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00","2019-07-13 10:21:00",10:21:00,1,7,10,2.34,6.99
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00","2019-07-13 10:29:00",10:29:00,1,7,10,2.28,6.99
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00","2019-07-13 12:52:00",12:52:00,1,7,24,0.65,6.99
2019-07-17,"4:00 PM","7:00 PM","2019-07-17 16:00:00","2019-07-17 19:00:00","2019-07-17 18:44:00",18:44:00,1,7,4,3.03,6.99
2019-07-17,"4:00 PM","7:00 PM","2019-07-17 16:00:00","2019-07-17 19:00:00","2019-07-17 16:30:00",16:30:00,1,7,5,4.11,6.99
2019-07-20,"8:00 AM","2:00 PM","2019-07-20 08:00:00","2019-07-20 14:00:00","2019-07-20 12:48:00",12:48:00,1,7,1,2.09,6.99
2019-07-20,"8:00 AM","2:00 PM","2019-07-20 08:00:00","2019-07-20 14:00:00","2019-07-20 13:00:00",13:00:00,1,7,1,4.93,6.99
2019-07-20,"8:00 AM","2:00 PM","2019-07-20 08:00:00","2019-07-20 14:00:00","2019-07-20 12:04:00",12:04:00,1,7,15,0.02,6.99
2019-07-20,"8:00 AM","2:00 PM","2019-07-20 08:00:00","2019-07-20 14:00:00","2019-07-20 11:33:00",11:33:00,1,7,21,2.00,6.99
2019-07-24,"4:00 PM","7:00 PM","2019-07-24 16:00:00","2019-07-24 19:00:00","2019-07-24 17:16:00",17:16:00,1,7,14,0.39,6.99
2019-07-24,"4:00 PM","7:00 PM","2019-07-24 16:00:00","2019-07-24 19:00:00","2019-07-24 17:30:00",17:30:00,1,7,19,2.74,6.99
2019-07-27,"8:00 AM","2:00 PM","2019-07-27 08:00:00","2019-07-27 14:00:00","2019-07-27 09:08:00",09:08:00,1,7,13,1.15,6.99
2019-07-27,"8:00 AM","2:00 PM","2019-07-27 08:00:00","2019-07-27 14:00:00","2019-07-27 13:58:00",13:58:00,1,7,17,1.55,6.99
2019-07-27,"8:00 AM","2:00 PM","2019-07-27 08:00:00","2019-07-27 14:00:00","2019-07-27 09:37:00",09:37:00,1,7,24,3.04,6.99
2019-07-31,"4:00 PM","7:00 PM","2019-07-31 16:00:00","2019-07-31 19:00:00","2019-07-31 18:36:00",18:36:00,1,7,3,2.64,6.99
2019-07-31,"4:00 PM","7:00 PM","2019-07-31 16:00:00","2019-07-31 19:00:00","2019-07-31 18:34:00",18:34:00,1,7,8,3.83,6.99
2019-07-31,"4:00 PM","7:00 PM","2019-07-31 16:00:00","2019-07-31 19:00:00","2019-07-31 18:11:00",18:11:00,1,7,19,3.69,6.99
2019-07-31,"4:00 PM","7:00 PM","2019-07-31 16:00:00","2019-07-31 19:00:00","2019-07-31 18:04:00",18:04:00,1,7,22,1.07,6.99
2019-08-03,"8:00 AM","2:00 PM","2019-08-03 08:00:00","2019-08-03 14:00:00","2019-08-03 12:12:00",12:12:00,1,7,4,0.08,6.99
2019-08-03,"8:00 AM","2:00 PM","2019-08-03 08:00:00","2019-08-03 14:00:00","2019-08-03 13:37:00",13:37:00,1,7,13,0.05,6.99
2019-08-03,"8:00 AM","2:00 PM","2019-08-03 08:00:00","2019-08-03 14:00:00","2019-08-03 13:46:00",13:46:00,1,7,13,2.36,6.99
2019-08-07,"4:00 PM","7:00 PM","2019-08-07 16:00:00","2019-08-07 19:00:00","2019-08-07 18:38:00",18:38:00,1,7,13,0.31,6.99
2019-08-07,"4:00 PM","7:00 PM","2019-08-07 16:00:00","2019-08-07 19:00:00","2019-08-07 18:30:00",18:30:00,1,7,24,4.65,6.99
2019-08-10,"8:00 AM","2:00 PM","2019-08-10 08:00:00","2019-08-10 14:00:00","2019-08-10 08:26:00",08:26:00,1,7,2,0.32,6.99
2019-08-10,"8:00 AM","2:00 PM","2019-08-10 08:00:00","2019-08-10 14:00:00","2019-08-10 09:29:00",09:29:00,1,7,2,1.29,6.99
