market_date,market_day,market_week,market_year,market_start_time,market_end_time,special_notes,market_season,market_min_temp,market_max_temp,market_rain_flag,market_snow_flag
02/03/19,Saturday,9,2019,8:00 AM,2:00 PM,,Spring,34,42,0,0
09/03/19,Saturday,10,2019,9:00 AM,2:00 PM,,Spring,28,32,0,1
13/03/19,Wednesday,11,2019,4:00 PM,7:00 PM,,Spring,52,60,0,0
16/03/19,Saturday,11,2019,8:00 AM,2:00 PM,,Spring,33,45,0,0
20/03/19,Wednesday,12,2019,4:00 PM,7:00 PM,,Spring,43,51,1,0
23/03/19,Saturday,12,2019,8:00 AM,2:00 PM,,Spring,40,46,1,0
27/03/19,Wednesday,13,2019,4:00 PM,7:00 PM,,Spring,55,62,0,0
30/03/19,Saturday,13,2019,8:00 AM,2:00 PM,,Spring,39,55,1,0
03/04/19,Wednesday,14,2019,4:00 PM,7:00 PM,,Spring,33,47,0,0
06/04/19,Saturday,14,2019,8:00 AM,2:00 PM,,Spring,50,65,0,0
10/04/19,Wednesday,15,2019,4:00 PM,7:00 PM,,Spring,57,65,0,0
13/04/19,Saturday,15,2019,8:00 AM,2:00 PM,,Spring,48,55,0,0
17/04/19,Wednesday,16,2019,4:00 PM,7:00 PM,,Spring,50,58,0,0
20/04/19,Saturday,16,2019,8:00 AM,2:00 PM,,Spring,49,60,0,0
24/04/19,Wednesday,17,2019,4:00 PM,7:00 PM,,Spring,51,59,0,0
27/04/19,Saturday,17,2019,8:00 AM,2:00 PM,,Spring,51,68,0,0
01/05/19,Wednesday,18,2019,4:00 PM,7:00 PM,,Spring,53,59,0,0
04/05/19,Saturday,18,2019,8:00 AM,2:00 PM,,Spring,54,64,0,0
08/05/19,Wednesday,19,2019,4:00 PM,7:00 PM,,Spring,,,0,0
11/05/19,Saturday,19,2019,8:00 AM,2:00 PM,,Spring,,,0,0
15/05/19,Wednesday,20,2019,4:00 PM,7:00 PM,,Spring,,,0,0
18/05/19,Saturday,20,2019,8:00 AM,2:00 PM,,Spring,,,0,0
22/05/19,Wednesday,21,2019,4:00 PM,7:00 PM,,Spring,,,0,0
25/05/19,Saturday,21,2019,8:00 AM,2:00 PM,,Spring,,,0,0
29/05/19,Wednesday,22,2019,4:00 PM,7:00 PM,,Spring,,,0,0
01/06/19,Saturday,22,2019,8:00 AM,2:00 PM,,Summer/Early Fall,49,69,0,0
05/06/19,Wednesday,23,2019,4:00 PM,7:00 PM,,Summer/Early Fall,71,82,0,0
08/06/19,Saturday,23,2019,8:00 AM,2:00 PM,,Summer/Early Fall,57,76,0,0
12/06/19,Wednesday,24,2019,4:00 PM,7:00 PM,,Summer/Early Fall,73,82,0,0
15/06/19,Saturday,24,2019,8:00 AM,2:00 PM,,Summer/Early Fall,56,64,0,0
19/06/19,Wednesday,25,2019,4:00 PM,7:00 PM,,Summer/Early Fall,68,76,0,0
22/06/19,Saturday,25,2019,8:00 AM,2:00 PM,,Summer/Early Fall,65,80,0,0
26/06/19,Wednesday,26,2019,4:00 PM,7:00 PM,,Summer/Early Fall,74,85,0,0
29/06/19,Saturday,26,2019,8:00 AM,2:00 PM,,Summer/Early Fall,72,79,0,0
03/07/19,Wednesday,27,2019,4:00 PM,7:00 PM,,Summer/Early Fall,70,89,0,0
06/07/19,Saturday,27,2019,8:00 AM,2:00 PM,,Summer/Early Fall,67,78,0,0
10/07/19,Wednesday,28,2019,4:00 PM,7:00 PM,,Summer/Early Fall,77,90,0,0
13/07/19,Saturday,28,2019,8:00 AM,2:00 PM,,Summer/Early Fall,65,81,0,0
17/07/19,Wednesday,29,2019,4:00 PM,7:00 PM,,Summer/Early Fall,,,0,0
20/07/19,Saturday,29,2019,8:00 AM,2:00 PM,,Summer/Early Fall,,,0,0
24/07/19,Wednesday,30,2019,4:00 PM,7:00 PM,,Summer/Early Fall,,,0,0
27/07/19,Saturday,30,2019,8:00 AM,2:00 PM,,Summer/Early Fall,,,0,0
31/07/19,Wednesday,31,2019,4:00 PM,7:00 PM,,Summer/Early Fall,,,1,0
03/08/19,Saturday,31,2019,8:00 AM,2:00 PM,,Summer/Early Fall,,,0,0
