Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,RequestHour,Car Availability,TimeSlot
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 11:51:00,11,Available,Noon
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 17:57:00,17,Available,Late Evening
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:17:00,9,Available,Early Morning
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 21:08:00,21,Available,Late Evening
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Available,Early Morning
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Available,Late Evening
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Available,Early Morning
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Available,Early Morning
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Available,Late Evening
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 06:46:00,6,Available,Early Morning
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 05:08:00,5,Available,Early Morning
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:30:00,12,Available,Noon
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Available,Dawn
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Available,Early Morning
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Available,Noon
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Available,Late Evening
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Available,Noon
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Available,Night
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:00:00,10,Available,Noon
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 18:45:00,18,Available,Late Evening
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 11:17:00,11,Available,Noon
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 15:46:00,15,Available,Noon
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:00:00,18,Available,Late Evening
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Available,Early Morning
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Available,Late Evening
5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Available,Late Evening
5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Available,Dawn
5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Available,Noon
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:08:00,13,Available,Noon
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 06:21:00,6,Available,Early Morning
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 09:27:00,9,Available,Early Morning
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 16:09:00,16,Available,Noon
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Available,Early Morning
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Available,Late Evening
4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Available,Dawn
4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,Available,Noon
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,Available,Early Morning
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,Available,Noon
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 07:27:00,7,Available,Early Morning
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 11:03:00,11,Available,Noon
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 20:58:00,20,Available,Late Evening
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 08:40:00,8,Available,Early Morning
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 14:48:00,14,Available,Noon
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 21:32:00,21,Available,Late Evening
3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,Available,Early Morning
3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,Available,Noon
4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,Available,Early Morning
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,Available,Early Morning
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,Available,Night
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 05:45:00,5,Available,Early Morning
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:02:00,13,Available,Noon
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,Available,Early Morning
3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,Available,Late Evening
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,Available,Dawn
4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,Available,Noon
5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,Available,Late Evening
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,Available,Dawn
5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,Available,Early Morning
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,Available,Noon
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 19:31:00,19,Available,Late Evening
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 22:07:00,22,Available,Night
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 20:39:00,20,Available,Late Evening
4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,Available,Dawn
4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,Available,Early Morning
4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,Available,Late Evening
5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,Available,Early Morning
6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,Available,Noon
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 08:18:00,8,Available,Early Morning
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 19:39:00,19,Available,Late Evening
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 08:57:00,8,Available,Early Morning
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 21:05:00,21,Available,Late Evening
3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,Available,Noon
4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,Available,Noon
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:08:00,9,Available,Early Morning
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 17:46:00,17,Available,Late Evening
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-11 23:39:00,23,Available,Night
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:13:00,5,Available,Early Morning
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:20:00,18,Available,Late Evening
3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,Available,Early Morning
3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,Available,Late Evening
3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,Available,Late Evening
4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,Available,Night
4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,Available,Dawn
4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,Available,Late Evening
